,Listing Price,Address,Number of Bedrooms,Number of Bathrooms,Area(sq-ft.),Property Type
350,"USD $615,477","Hebbal, Bangalore, Karnataka",4,4,"3,265.00 sq ft",Apartment
351,"USD $326,839","Sector 102, Gurgaon, Haryana",4,4,"2,180.00 sq ft",Apartment
352,"USD $1,732,670","Whitefield Hope Farm Junction, Bangalore, Karnataka",5,5,"11,567.00 sq ft",Apartment
353,"USD $1,196,257","Whitefield Hope Farm Junction, Bangalore, Karnataka",4,4,"7,986.00 sq ft",Apartment
354,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
355,"USD $149,864","Cossipore, Kolkata, West Bengal",3,3,"1,585.00 sq ft",Apartment
356,,"Electronic City Phase 2, Bangalore, Karnataka",,,,Unit
357,,"New Town, Kolkata, West Bengal",,,,Unit
358,"USD $1,014,981","Malleswaram, Bangalore, Karnataka",4,4,"4,072.00 sq ft",Apartment
359,"USD $804,545","Malleswaram, Bangalore, Karnataka",3,3,"3,728.00 sq ft",Apartment
360,"USD $155,749","Kanakapura, Bangalore, Karnataka",2,2,"1,285.00 sq ft",Apartment
361,"USD $275,555","Kanakapura, Bangalore, Karnataka",3,3,"2,013.00 sq ft",Apartment
362,"USD $221,642","Kanakapura, Bangalore, Karnataka",3,3,"1,775.00 sq ft",Apartment
363,"USD $98,939","Kumbalgodu, Bangalore, Karnataka",2,2,"1,064.00 sq ft",Apartment
364,"USD $141,372","Kanakapura, Bangalore, Karnataka",2,2,"1,200.00 sq ft",Apartment
365,"USD $203,671","Kanakapura, Bangalore, Karnataka",3,3,"1,650.00 sq ft",Apartment
366,,"Kanakapura, Bangalore, Karnataka",,,,Unit
367,,"Kumbalgodu, Bangalore, Karnataka",,,,Unit
368,"USD $247,019","Sarjapur Road Wipro To Railway Crossing, Bangalore, Karnataka",3,3,"1,806.00 sq ft",Apartment
369,,"Sarjapur Road Wipro To Railway Crossing, Bangalore, Karnataka",,,,Unit
370,"USD $119,327","Sector 33 Sohna, Gurgaon, Haryana",3,3,996.00 sq ft,Apartment
371,"USD $267,009","Kappil, Kappil, Kerala",5,5,"1,614.60 sq ft",House
372,"USD $166,176","Perungudi, Chennai, Tamil Nadu",3,3,"1,632.00 sq ft",Apartment
373,"USD $79,060","Talaghattapura, Bangalore, Karnataka",1,1,684.00 sq ft,Apartment
374,"USD $214,038","Kondapur, Hyderabad, Andhra Pradesh",3,3,"1,921.00 sq ft",Apartment
375,"USD $217,938","Kondapur, Hyderabad, Andhra Pradesh",3,3,"1,956.00 sq ft",Apartment
376,"USD $164,959","Nagarbhavi, Bangalore, Karnataka",3,3,"1,490.00 sq ft",Apartment
377,"USD $396,260","Hulimavu, Bangalore, Karnataka",4,4,"3,375.00 sq ft",Apartment
378,"USD $766,763","Hebbal, Bangalore, Karnataka",4,4,"4,400.00 sq ft",Apartment
379,"USD $233,648","Kondapur, Hyderabad, Andhra Pradesh",3,3,"2,097.00 sq ft",Apartment
380,"USD $154,874","Kondapur, Hyderabad, Andhra Pradesh",2,2,"1,390.00 sq ft",Apartment
381,"USD $417,981","Hulimavu, Bangalore, Karnataka",4,5,"3,560.00 sq ft",Apartment
382,"USD $733,195","Hebbal, Bangalore, Karnataka",3,3,"4,200.00 sq ft",Apartment
383,"USD $152,311","Kondapur, Hyderabad, Andhra Pradesh",2,2,"1,367.00 sq ft",Apartment
384,"USD $159,665","Kondapur, Hyderabad, Andhra Pradesh",2,2,"1,433.00 sq ft",Apartment
385,"USD $285,904","Kondapur, Hyderabad, Andhra Pradesh",3,3,"2,566.00 sq ft",Apartment
386,"USD $1,889,481","Hebbal, Bangalore, Karnataka",4,4,"7,700.00 sq ft",Apartment
387,"USD $611,014","Hebbal, Bangalore, Karnataka",3,3,"3,500.00 sq ft",Apartment
388,"USD $640,673","Hebbal, Bangalore, Karnataka",3,3,"3,670.00 sq ft",Apartment
389,"USD $2,429,341","Hebbal, Bangalore, Karnataka",5,6,"9,900.00 sq ft",Apartment
390,,"Mokila, Hyderabad, Andhra Pradesh",,,,Unit
391,"USD $215,375","Kondapur, Hyderabad, Andhra Pradesh",3,3,"1,933.00 sq ft",Apartment
392,,"Vidyaranyapura, Bangalore, Karnataka",,,,Unit
393,"USD $162,339","Kondapur, Hyderabad, Andhra Pradesh",2,2,"1,457.00 sq ft",Apartment
394,,"Electronic City Phase 2, Bangalore, Karnataka",,,,Unit
395,,"Attibele, Bangalore, Karnataka",,,,Unit
396,,"Sudhama Nagar, Bangalore, Karnataka",,,,Unit
397,,"Kumbalgodu, Bangalore, Karnataka",,,,Unit
398,"USD $356,341","Hulimavu, Bangalore, Karnataka",3,5,"3,035.00 sq ft",Apartment
399,,"Nanakramguda, Hyderabad, Andhra Pradesh",,,,Unit
400,"USD $2,044,327","Hebbal, Bangalore, Karnataka",5,6,"8,331.00 sq ft",Apartment
401,,"Vasanth Nagar, Bangalore, Karnataka",,,,Unit
402,"USD $368,669","Hulimavu, Bangalore, Karnataka",3,3,"3,140.00 sq ft",Apartment
403,,"Jalahalli, Bangalore, Karnataka",,,,Unit
404,,"Chikkagubbi on Hennur Main Road, Bangalore, Karnataka",,,,Unit
405,"USD $497,696","Malleswaram, Bangalore, Karnataka",3,4,"2,475.00 sq ft",Apartment
406,"USD $215,152","Kondapur, Hyderabad, Andhra Pradesh",3,3,"1,931.00 sq ft",Apartment
407,,"Begur, Bangalore, Karnataka",,,,Unit
408,,"Bachupally, Hyderabad, Andhra Pradesh",,,,Unit
409,"USD $2,036,713","Hebbal, Bangalore, Karnataka",5,5,"8,300.00 sq ft",Apartment
410,,"Anjanapura, Bangalore, Karnataka",,,,Unit
411,"USD $90,428","Perungalathur, Chennai, Tamil Nadu",2,2,957.00 sq ft,Apartment
412,"USD $890,811","Hebbal, Bangalore, Karnataka",5,4,"5,112.00 sq ft",Apartment
413,"USD $410,937","Hulimavu, Bangalore, Karnataka",4,4,"3,500.00 sq ft",Apartment
414,,"RR Nagar, Bangalore, Karnataka",,,,Unit
415,"USD $381,584","Hulimavu, Bangalore, Karnataka",3,4,"3,250.00 sq ft",Apartment
416,"USD $426,200","Hulimavu, Bangalore, Karnataka",4,5,"3,630.00 sq ft",Apartment
417,"USD $132,611","Nagarbhavi, Bangalore, Karnataka",3,2,"1,186.00 sq ft",Apartment
418,"USD $2,184,444","Hebbal, Bangalore, Karnataka",5,6,"8,902.00 sq ft",Apartment
419,,"Bolarum, Hyderabad, Andhra Pradesh",,,,Unit
420,,"Vasanth Nagar, Bangalore, Karnataka",,,,Unit
421,,"Jalahalli, Bangalore, Karnataka",,,,Unit
422,,"Chikkagubbi on Hennur Main Road, Bangalore, Karnataka",,,,Unit
423,,"Jalahalli, Bangalore, Karnataka",,,,Unit
424,"USD $372,191","Hulimavu, Bangalore, Karnataka",3,5,"3,170.00 sq ft",Apartment
425,,"Hulimavu, Bangalore, Karnataka",,,,Unit
426,"USD $283,899","Kondapur, Hyderabad, Andhra Pradesh",3,3,"2,548.00 sq ft",Apartment
427,,"Marathahalli, Bangalore, Karnataka",,,,Unit
428,,"Kogilu, Bangalore, Karnataka",,,,Unit
429,,"Kumbalgodu, Bangalore, Karnataka",,,,Unit
430,,"Jigani, Bangalore, Karnataka",,,,Unit
431,"USD $286,016","Kondapur, Hyderabad, Andhra Pradesh",3,3,"2,567.00 sq ft",Apartment
432,"USD $3,773,907","Ashok Nagar, Bangalore, Karnataka",4,5,"8,321.00 sq ft",Apartment
433,,"Ashok Nagar, Bangalore, Karnataka",,,,Unit
434,,"Begur, Bangalore, Karnataka",,,,Unit
435,,"Talaghattapura, Bangalore, Karnataka",,,,Unit
436,"USD $438,163","Malleswaram, Bangalore, Karnataka",3,3,"2,215.00 sq ft",Apartment
437,,"Malleswaram, Bangalore, Karnataka",,,,Unit
438,,"Narayanapura on Hennur Main Road, Bangalore, Karnataka",,,,Unit
439,,"Toli Chowki, Hyderabad, Andhra Pradesh",,,,Unit
440,,"Doddaballapur, Bangalore, Karnataka",,,,Unit
441,,"Narayanapura on Hennur Main Road, Bangalore, Karnataka",,,,Unit
442,"USD $2,380,263","Hebbal, Bangalore, Karnataka",5,5,"9,700.00 sq ft",Apartment
443,"USD $801,590","Hebbal, Bangalore, Karnataka",4,4,"4,600.00 sq ft",Apartment
444,,"Hulimavu, Bangalore, Karnataka",,,,Unit
445,"USD $680,300","Hebbal, Bangalore, Karnataka",3,3,"3,897.00 sq ft",Apartment
446,,"Hebbal, Bangalore, Karnataka",,,,Unit
447,,"Frazer Town, Bangalore, Karnataka",,,,Unit
448,,"Nagarbhavi, Bangalore, Karnataka",,,,Unit
449,"USD $187,730","Nagarbhavi, Bangalore, Karnataka",3,3,"1,704.00 sq ft",Apartment
450,,"Jalahalli, Bangalore, Karnataka",,,,Unit
451,,"Jalahalli, Bangalore, Karnataka",,,,Unit
452,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
453,,"Kumbalgodu, Bangalore, Karnataka",,,,Unit
454,,"Thalambur, Chennai, Tamil Nadu",,,,Unit
455,,"Serilingampally, Hyderabad, Andhra Pradesh",,,,Unit
456,"USD $75,480","Rajarhat, Kolkata, West Bengal",3,3,770.00 sq ft,Apartment
457,"USD $619,999","Sector 61, Gurgaon, Haryana",3,3,"2,250.00 sq ft",Apartment
458,"USD $325,259","Sector 62, Gurgaon, Haryana",2,2,"1,508.00 sq ft",Apartment
459,"USD $633,777","Sector 61, Gurgaon, Haryana",3,3,"2,300.00 sq ft",Apartment
460,,"Sector 61, Gurgaon, Haryana",,,,Unit
461,"USD $79,597","Rajarhat, Kolkata, West Bengal",3,3,812.00 sq ft,Apartment
462,,"Hinjewadi, Pune, Maharashtra",,,,Unit
463,"USD $61,773","Rajarhat, Kolkata, West Bengal",2,2,639.00 sq ft,Apartment
464,,"Kandivali East, Mumbai, Maharashtra",,,,Unit
465,,"Miyapur, Hyderabad, Andhra Pradesh",,,,Unit
466,"USD $589,293","Sector 62, Gurgaon, Haryana",3,3,"2,589.00 sq ft",Apartment
467,,"Sector 62, Gurgaon, Haryana",,,,Unit
468,,"Kokapet, Hyderabad, Andhra Pradesh",,,,Unit
469,"USD $61,097","Rajarhat, Kolkata, West Bengal",2,2,632.00 sq ft,Apartment
470,"USD $125,852","Gota, Ahmedabad, Gujarat",3,3,"1,918.00 sq ft",Apartment
471,"USD $235,350","Gota, Ahmedabad, Gujarat",4,4,"3,591.00 sq ft",Apartment
472,"USD $136,252","Gota, Ahmedabad, Gujarat",3,3,"2,118.00 sq ft",Apartment
473,"USD $141,952","Gota, Ahmedabad, Gujarat",3,3,"2,164.00 sq ft",Apartment
474,,"Singasandra, Bangalore, Karnataka",,,,Unit
475,"USD $118,587","Perungalathur, Chennai, Tamil Nadu",3,3,"1,255.00 sq ft",Apartment
476,,"Rajarhat, Kolkata, West Bengal",,,,Unit
477,,"Hebbal, Bangalore, Karnataka",,,,Unit
478,"USD $117,866","Bachupally, Hyderabad, Andhra Pradesh",3,3,"1,353.00 sq ft",Apartment
479,"USD $153,353","Bachupally, Hyderabad, Andhra Pradesh",4,4,"2,021.00 sq ft",Apartment
480,"USD $95,737","Bachupally, Hyderabad, Andhra Pradesh",2,2,"1,099.00 sq ft",Apartment
481,,"Varthur, Bangalore, Karnataka",,,,Unit
482,,"Varthur, Bangalore, Karnataka",,,,Unit
483,,"Chikkanayakanahalli at Off Sarjapur, Bangalore, Karnataka",,,,Unit
484,,"Varthur, Bangalore, Karnataka",,,,Unit
485,,"Varthur, Bangalore, Karnataka",,,,Unit
486,,"Poonamallee, Chennai, Tamil Nadu",,,,Unit
487,"USD $119,807","Wakad, Pune, Maharashtra",3,3,975.00 sq ft,Apartment
488,"USD $93,449","Wakad, Pune, Maharashtra",2,2,747.00 sq ft,Apartment
489,"USD $264,507","Bhat, Ahmedabad, Gujarat",4,4,"4,554.00 sq ft",Apartment
490,,"Gota, Ahmedabad, Gujarat",,,,Unit
491,"USD $299,517","Sector 60, Gurgaon, Haryana",3,3,"2,080.00 sq ft",Apartment
492,"USD $293,526","Sector 60, Gurgaon, Haryana",3,3,"1,800.00 sq ft",Apartment
493,"USD $141,372","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,180.00 sq ft",Apartment
494,"USD $88,777","Sector 33 Sohna, Gurgaon, Haryana",2,2,780.00 sq ft,Apartment
495,"USD $226,039","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,986.00 sq ft",Apartment
496,"USD $460,058","Sector 60, Gurgaon, Haryana",4,4,"2,740.00 sq ft",Apartment
497,"USD $93,449","Sector 33 Sohna, Gurgaon, Haryana",2,2,780.00 sq ft,Apartment
498,"USD $143,636","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,262.00 sq ft",Apartment
499,"USD $629,972","Sector 36A, Gurgaon, Haryana",3,3,"2,528.00 sq ft",Apartment
500,,"Tollygunge, Kolkata, West Bengal",,,,Unit
501,,"Sector 43, Noida, Uttar Pradesh",,,,Unit
502,"USD $134,303","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,180.00 sq ft",Apartment
503,,"Sector 33 Sohna, Gurgaon, Haryana",,,,Unit
504,"USD $151,196","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,262.00 sq ft",Apartment
505,"USD $277,090","Sector 106, Gurgaon, Haryana",3,3,"1,855.00 sq ft",Apartment
506,"USD $406,300","Sector 106, Gurgaon, Haryana",4,4,"2,720.00 sq ft",Apartment
507,"USD $299,347","Sector 106, Gurgaon, Haryana",3,3,"2,004.00 sq ft",Apartment
508,,"Sector 106, Gurgaon, Haryana",,,,Unit
509,,"Sector 102, Gurgaon, Haryana",,,,Unit
510,"USD $172,002","Bettadasanapura, Bangalore, Karnataka",3,3,"1,555.00 sq ft",Apartment
511,"USD $141,157","Bettadasanapura, Bangalore, Karnataka",2,2,"1,340.00 sq ft",Apartment
512,"USD $48,040","Poonamallee, Chennai, Tamil Nadu",1,1,516.00 sq ft,Apartment
513,"USD $129,879","Bettadasanapura, Bangalore, Karnataka",2,2,"1,230.00 sq ft",Apartment
514,"USD $257,863","RR Nagar, Bangalore, Karnataka",3,3,"1,994.00 sq ft",Apartment
515,"USD $717,762","Sector 33 Sohna, Gurgaon, Haryana",5,5,"5,991.00 sq ft",House
516,"USD $81,735","Poonamallee, Chennai, Tamil Nadu",2,2,882.00 sq ft,Apartment
517,"USD $32,409","Poonamallee, Chennai, Tamil Nadu",1,1,352.00 sq ft,Apartment
518,"USD $451,066","RR Nagar, Bangalore, Karnataka",4,4,"3,488.00 sq ft",Apartment
519,"USD $546,318","Sector 33 Sohna, Gurgaon, Haryana",4,4,"4,560.00 sq ft",House
520,,"Sector 33 Sohna, Gurgaon, Haryana",,,,Unit
521,"USD $36,092","Poonamallee, Chennai, Tamil Nadu",1,1,392.00 sq ft,Apartment
522,"USD $138,276","Bettadasanapura, Bangalore, Karnataka",2,2,"1,320.00 sq ft",Apartment
523,"USD $189,853","Bettadasanapura, Bangalore, Karnataka",3,3,"1,720.00 sq ft",Apartment
524,"USD $239,629","RR Nagar, Bangalore, Karnataka",3,3,"1,853.00 sq ft",Apartment
525,"USD $404,640","RR Nagar, Bangalore, Karnataka",4,4,"3,129.00 sq ft",Apartment
526,"USD $45,644","Poonamallee, Chennai, Tamil Nadu",1,1,489.00 sq ft,Apartment
527,"USD $282,692","RR Nagar, Bangalore, Karnataka",3,3,"2,186.00 sq ft",Apartment
528,"USD $135,401","Gota, Ahmedabad, Gujarat",3,3,"2,050.00 sq ft",Apartment
529,,"Bhat, Ahmedabad, Gujarat",,,,Unit
530,,"Kukatpally, Hyderabad, Andhra Pradesh",,,,Unit
531,,"Dakshin Gobindopur, Kolkata, West Bengal",,,,Unit
532,"USD $248,814","Bettadasanapura, Bangalore, Karnataka",4,4,"2,265.00 sq ft",Apartment
533,,"Gota, Ahmedabad, Gujarat",,,,Unit
534,,"Narendrapur, Kolkata, West Bengal",,,,Unit
535,,"Narendrapur, Kolkata, West Bengal",,,,Unit
536,,"Gota, Ahmedabad, Gujarat",,,,Unit
537,,"Medavakkam, Chennai, Tamil Nadu",,,,Unit
538,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
539,"USD $255,794","RR Nagar, Bangalore, Karnataka",3,3,"1,978.00 sq ft",Apartment
540,"USD $64,313","Poonamallee, Chennai, Tamil Nadu",2,2,694.00 sq ft,Apartment
541,,"Poonamallee, Chennai, Tamil Nadu",,,,Unit
542,,"Chowhati, Kolkata, West Bengal",,,,Unit
543,,"Bettadasanapura, Bangalore, Karnataka",,,,Unit
544,,"RR Nagar, Bangalore, Karnataka",,,,Unit
545,"USD $188,096","Padmanabha Nagar, Bangalore, Karnataka",3,2,"1,480.00 sq ft",Apartment
546,"USD $306,705","Padmanabha Nagar, Bangalore, Karnataka",3,3,"1,590.00 sq ft",Apartment
547,"USD $189,367","Padmanabha Nagar, Bangalore, Karnataka",3,2,"1,490.00 sq ft",Apartment
548,"USD $204,869","Padmanabha Nagar, Bangalore, Karnataka",3,3,"1,580.00 sq ft",Apartment
549,,"Padmanabha Nagar, Bangalore, Karnataka",,,,Unit
550,"USD $186,659","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,640.00 sq ft",Apartment
551,"USD $149,099","Sector 33 Sohna, Gurgaon, Haryana",2,2,"1,310.00 sq ft",Apartment
552,,"Panvel, Mumbai, Maharashtra",,,,Unit
553,"USD $77,714","Madhyamgram, Kolkata, West Bengal",3,3,"1,212.00 sq ft",Apartment
554,"USD $72,392","Madhyamgram, Kolkata, West Bengal",3,3,"1,129.00 sq ft",Apartment
555,,"Padur, Chennai, Tamil Nadu",,,,Unit
556,"USD $129,669","Arpora, Arpora, Goa",2,2,968.76 sq ft,Apartment
557,"USD $145,685","Hinjewadi, Pune, Maharashtra",3,3,"1,331.00 sq ft",Apartment
558,"USD $111,207","Hinjewadi, Pune, Maharashtra",2,2,"1,016.00 sq ft",Apartment
559,"USD $189,358","Hinjewadi, Pune, Maharashtra",3,3,"1,730.00 sq ft",Apartment
560,"USD $261,160","Hinjewadi, Pune, Maharashtra",5,5,"2,386.00 sq ft",Apartment
561,"USD $209,169","Hinjewadi, Pune, Maharashtra",4,4,"1,911.00 sq ft",Apartment
562,,"Hinjewadi, Pune, Maharashtra",,,,Unit
563,,"Wakad, Pune, Maharashtra",,,,Unit
564,,"Kharghar, Mumbai, Maharashtra",,,,Unit
565,,"Kharghar, Mumbai, Maharashtra",,,,Unit
566,,"Sarjapur, Bangalore, Karnataka",,,,Unit
567,"USD $315,865","Gottigere, Bangalore, Karnataka",3,3,"2,209.00 sq ft",Apartment
568,"USD $410,564","Yeshwantpur, Bangalore, Karnataka",3,3,"2,310.00 sq ft",Apartment
569,"USD $318,672","Jakkur, Bangalore, Karnataka",4,4,"2,799.00 sq ft",Apartment
570,"USD $281,172","Jakkur, Bangalore, Karnataka",3,3,"2,489.00 sq ft",Apartment
571,"USD $542,975","Yeshwantpur, Bangalore, Karnataka",4,5,"3,055.00 sq ft",Apartment
572,"USD $283,484","Yeshwantpur, Bangalore, Karnataka",3,3,"1,595.00 sq ft",Apartment
573,,"Kollur, Hyderabad, Andhra Pradesh",,,,Unit
574,"USD $227,626","Jakkur, Bangalore, Karnataka",3,3,"2,015.00 sq ft",Apartment
575,,"Jakkur, Bangalore, Karnataka",,,,Unit
576,,"Gottigere, Bangalore, Karnataka",,,,Unit
577,"USD $415,007","Yeshwantpur, Bangalore, Karnataka",3,3,"2,335.00 sq ft",Apartment
578,,"Yeshwantpur, Bangalore, Karnataka",,,,Unit
579,"USD $429,226","Yeshwantpur, Bangalore, Karnataka",3,4,"2,415.00 sq ft",Apartment
580,,"Yeshwantpur, Bangalore, Karnataka",,,,Unit
581,,"Wadala, Mumbai, Maharashtra",,,,Unit
582,,"Kollur, Hyderabad, Andhra Pradesh",,,,Unit
583,,"Bavdhan, Pune, Maharashtra",,,,Unit
584,,"Shilaj, Ahmedabad, Gujarat",,,,Unit
585,"USD $503,188","Tollygunge, Kolkata, West Bengal",4,4,"1,928.00 sq ft",Apartment
586,"USD $611,014","Tollygunge, Kolkata, West Bengal",5,5,"2,839.00 sq ft",Apartment
587,"USD $423,217","Basavanagudi, Bangalore, Karnataka",3,3,"2,355.00 sq ft",Apartment
588,"USD $1,010,417","Lalbagh Road, Bangalore, Karnataka",4,4,"3,360.00 sq ft",Apartment
589,"USD $583,159","Basavanagudi, Bangalore, Karnataka",4,4,"3,245.00 sq ft",Apartment
590,"USD $748,792","Lalbagh Road, Bangalore, Karnataka",4,3,"2,490.00 sq ft",Apartment
591,"USD $648,050","Lalbagh Road, Bangalore, Karnataka",4,3,"2,155.00 sq ft",Apartment
592,"USD $930,727","Lalbagh Road, Bangalore, Karnataka",4,4,"3,095.00 sq ft",Apartment
593,"USD $658,937","Lalbagh Road, Bangalore, Karnataka",3,3,"1,992.00 sq ft",Apartment
594,"USD $966,212","Lalbagh Road, Bangalore, Karnataka",4,4,"3,213.00 sq ft",Apartment
595,"USD $824,573","Lalbagh Road, Bangalore, Karnataka",4,4,"2,742.00 sq ft",Apartment
596,,"Pocharam, Hyderabad, Andhra Pradesh",,,,Unit
597,,"Electronic City Phase 2, Bangalore, Karnataka",,,,Unit
598,,"Krishnarajapura, Bangalore, Karnataka",,,,Unit
599,"USD $483,959","Basavanagudi, Bangalore, Karnataka",3,3,"2,693.00 sq ft",Apartment
600,,"Basavanagudi, Bangalore, Karnataka",,,,Unit
601,"USD $680,528","Lalbagh Road, Bangalore, Karnataka",3,3,"2,263.00 sq ft",Apartment
602,,"Lalbagh Road, Bangalore, Karnataka",,,,Unit
603,,"Sarjapur, Bangalore, Karnataka",,,,Unit
604,,"Sahakar Nagar, Bangalore, Karnataka",,,,Unit
605,,"Tollygunge, Kolkata, West Bengal",,,,Unit
606,,"Wakad, Pune, Maharashtra",,,,Unit
607,"USD $104,217","Porur, Chennai, Tamil Nadu",3,2,"1,208.00 sq ft",Apartment
608,,"Sector 61, Gurgaon, Haryana",,,,Unit
609,"USD $149,492","Varthur, Bangalore, Karnataka",2,2,"1,310.00 sq ft",Apartment
610,,"Varthur, Bangalore, Karnataka",,,,Unit
611,,"Appa Junction Peerancheru, Hyderabad, Andhra Pradesh",,,,Unit
612,,"Gandipet, Hyderabad, Andhra Pradesh",,,,Unit
613,,"Electronic City Phase 2, Bangalore, Karnataka",,,,Unit
614,,"Kokapet, Hyderabad, Andhra Pradesh",,,,Unit
615,,"Doddanekundi, Bangalore, Karnataka",,,,Unit
616,,"Varthur, Bangalore, Karnataka",,,,Unit
617,,"Puppalaguda, Hyderabad, Andhra Pradesh",,,,Unit
618,,"Sector 150, Noida, Uttar Pradesh",,,,Unit
619,,"Kokapet, Hyderabad, Andhra Pradesh",,,,Unit
620,,"Vasna, Ahmedabad, Gujarat",,,,Unit
621,,"Jakkur, Bangalore, Karnataka",,,,Unit
622,"USD $97,976","Madhyamgram, Kolkata, West Bengal",4,4,"1,528.00 sq ft",Apartment
623,,"Mugalivakkam, Chennai, Tamil Nadu",,,,Unit
624,,"Chinchwad, Pune, Maharashtra",,,,Unit
625,,"Kharadi, Pune, Maharashtra",,,,Unit
626,,"Sector 112, Gurgaon, Haryana",,,,Unit
627,"USD $355,586","Sector 106, Gurgaon, Haryana",3,3,"1,855.00 sq ft",Apartment
628,"USD $383,765","Sector 106, Gurgaon, Haryana",3,3,"2,002.00 sq ft",Apartment
629,,"Sector 106, Gurgaon, Haryana",,,,Unit
630,,"Krishnarajapura, Bangalore, Karnataka",,,,Unit
631,,"Chikkanayakanahalli at Off Sarjapur, Bangalore, Karnataka",,,,Unit
632,,"Sector 113, Gurgaon, Haryana",,,,Unit
633,,"Mangadu, Chennai, Tamil Nadu",,,,Unit
634,,"Sector 4 Noida Extension, Greater Noida, Uttar Pradesh",,,,Unit
635,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
636,,"Varthur, Bangalore, Karnataka",,,,Unit
637,,"Mangadu, Chennai, Tamil Nadu",,,,Unit
638,,"Mogappair, Chennai, Tamil Nadu",,,,Unit
639,,"Narsingi, Hyderabad, Andhra Pradesh",,,,Unit
640,,"Kokapet, Hyderabad, Andhra Pradesh",,,,Unit
641,,"Kannamangala, Bangalore, Karnataka",,,,Unit
642,,"Mogappair, Chennai, Tamil Nadu",,,,Unit
643,"USD $120,865","Perungudi, Chennai, Tamil Nadu",2,2,"1,187.00 sq ft",Apartment
644,"USD $175,442","Perungudi, Chennai, Tamil Nadu",3,3,"1,723.00 sq ft",Apartment
645,"USD $124,429","Perungudi, Chennai, Tamil Nadu",2,2,"1,222.00 sq ft",Apartment
646,"USD $156,939","Near Vaishno Devi Circle On SG Highway, Ahmedabad, Gujarat",3,3,"2,335.00 sq ft",Apartment
647,,"Navallur, Chennai, Tamil Nadu",,,,Unit
648,,"Sector 43, Noida, Uttar Pradesh",,,,Unit
649,"USD $56,410","Talaghattapura, Bangalore, Karnataka",1,1,554.00 sq ft,Apartment
650,"USD $97,649","Talaghattapura, Bangalore, Karnataka",2,2,959.00 sq ft,Apartment
651,"USD $146,404","Miyapur, Hyderabad, Andhra Pradesh",3,3,"1,940.00 sq ft",Apartment
652,"USD $129,425","Miyapur, Hyderabad, Andhra Pradesh",3,3,"1,715.00 sq ft",Apartment
653,,"Varthur, Bangalore, Karnataka",,,,Unit
654,"USD $100,370","Miyapur, Hyderabad, Andhra Pradesh",2,2,"1,330.00 sq ft",Apartment
655,"USD $112,822","Miyapur, Hyderabad, Andhra Pradesh",2,2,"1,495.00 sq ft",Apartment
656,"USD $91,314","Miyapur, Hyderabad, Andhra Pradesh",2,2,"1,210.00 sq ft",Apartment
657,"USD $122,633","Miyapur, Hyderabad, Andhra Pradesh",3,3,"1,625.00 sq ft",Apartment
658,,"Padur, Chennai, Tamil Nadu",,,,Unit
659,,"Miyapur, Hyderabad, Andhra Pradesh",,,,Unit
660,,"Marathahalli, Bangalore, Karnataka",,,,Unit
661,,"Sarjapur, Bangalore, Karnataka",,,,Unit
662,,"Ameenpur, Hyderabad, Andhra Pradesh",,,,Unit
663,,"Hitech City, Hyderabad, Andhra Pradesh",,,,Unit
664,,"Navallur, Chennai, Tamil Nadu",,,,Unit
665,,"Sector 112, Gurgaon, Haryana",,,,Unit
666,,"Navallur, Chennai, Tamil Nadu",,,,Unit
667,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
668,,"Sector 109, Gurgaon, Haryana",,,,Unit
669,,"Gunjur, Bangalore, Karnataka",,,,Unit
670,,"Kokapet, Hyderabad, Andhra Pradesh",,,,Unit
671,"USD $130,592","Porur, Chennai, Tamil Nadu",3,3,"1,565.00 sq ft",Apartment
672,,"Panathur, Bangalore, Karnataka",,,,Unit
673,,"Near Vaishno Devi Circle On SG Highway, Ahmedabad, Gujarat",,,,Unit
674,"USD $269,373","New Town, Kolkata, West Bengal",4,4,"2,044.00 sq ft",Apartment
675,,"Ravet, Pune, Maharashtra",,,,Unit
676,,"Thane West, Mumbai, Maharashtra",,,,Unit
677,"USD $160,385","New Town, Kolkata, West Bengal",2,2,"1,217.00 sq ft",Apartment
678,"USD $250,396","New Town, Kolkata, West Bengal",3,3,"1,900.00 sq ft",Apartment
679,,"PI, Greater Noida, Uttar Pradesh",,,,Unit
680,,"Kandivali East, Mumbai, Maharashtra",,,,Unit
681,"USD $156,036","New Town, Kolkata, West Bengal",3,3,"1,184.00 sq ft",Apartment
682,,"Porur, Chennai, Tamil Nadu",,,,Unit
683,"USD $120,585","New Town, Kolkata, West Bengal",2,2,915.00 sq ft,Apartment
684,,"Panvel, Mumbai, Maharashtra",,,,Unit
685,"USD $340,011","New Town, Kolkata, West Bengal",4,4,"2,580.00 sq ft",Apartment
