,Listing Price,Address,Number of Bedrooms,Number of Bathrooms,Area(sq-ft.),Property Type
145,"USD $74,365","Tollygunge, Kolkata, West Bengal",2,2,638.00 sq ft,Apartment
146,"USD $74,016","Tollygunge, Kolkata, West Bengal",2,2,635.00 sq ft,Apartment
147,"USD $74,482","Tollygunge, Kolkata, West Bengal",2,2,639.00 sq ft,Apartment
148,"USD $113,535","Electronic City Phase 1, Bangalore, Karnataka",3,3,"1,360.00 sq ft",Apartment
149,"USD $106,439","Electronic City Phase 1, Bangalore, Karnataka",3,3,"1,275.00 sq ft",Apartment
150,"USD $177,346","Tollygunge, Kolkata, West Bengal",4,4,"1,471.00 sq ft",Apartment
151,"USD $92,247","Electronic City Phase 1, Bangalore, Karnataka",2,2,"1,105.00 sq ft",Apartment
152,"USD $120,826","Tollygunge, Kolkata, West Bengal",3,3,"1,049.00 sq ft",Apartment
153,"USD $76,930","Tollygunge, Kolkata, West Bengal",2,2,660.00 sq ft,Apartment
154,"USD $59,439","Electronic City Phase 1, Bangalore, Karnataka",2,2,712.00 sq ft,Apartment
155,"USD $110,840","Tollygunge, Kolkata, West Bengal",3,2,919.00 sq ft,Apartment
156,"USD $69,193","Rajarhat, Kolkata, West Bengal",3,3,862.00 sq ft,Apartment
157,"USD $70,684","Rajarhat, Kolkata, West Bengal",2,2,623.00 sq ft,Apartment
158,"USD $69,514","Rajarhat, Kolkata, West Bengal",3,3,866.00 sq ft,Apartment
159,"USD $72,243","Rajarhat, Kolkata, West Bengal",3,3,900.00 sq ft,Apartment
160,"USD $63,654","Rajarhat, Kolkata, West Bengal",2,2,793.00 sq ft,Apartment
161,"USD $68,230","Rajarhat, Kolkata, West Bengal",3,3,850.00 sq ft,Apartment
162,"USD $304,611","Bettadasanapura, Bangalore, Karnataka",4,4,"2,730.00 sq ft",Apartment
163,"USD $255,256","Bettadasanapura, Bangalore, Karnataka",4,4,"2,345.00 sq ft",Apartment
164,"USD $835,470","Hebbal, Bangalore, Karnataka",5,5,"4,865.00 sq ft",Apartment
165,"USD $639,358","Hebbal, Bangalore, Karnataka",4,4,"3,930.00 sq ft",Apartment
166,"USD $639,358","Hebbal, Bangalore, Karnataka",4,4,"3,900.00 sq ft",Apartment
